Code	Incipit	Rubrica	File	Source	Duplicate of		
7GF7L2		Gn. 5: 22-27	x	AELF			
7GF7L3		Gn. 5: 28-31	x	AELF			
6GF1N1L1	De libro Génesis	Gn. 5: 31; 6: 1-4	x	AELF			
6GF1N1L2		Gn. 6: 5-8	x	AELF			
6GF1N1L3		Gn. 6: 9-15	x	AELF			
6GF2L1	De libro Génesis	Gn. 7: 1-4	x	AELF			
6GF2L2		Gn. 7: 5, 10-12	x	AELF			
6GF2L3		Gn. 7: 13-14, 17	x	AELF			
6GF3L1	De libro Génesis	Gn. 8: 1-4	x	AELF			
6GF3L2		Gn. 8: 5-9	x	AELF			
6GF3L3		Gn. 8:10-13	x	AELF			
6GF4L1	De libro Génesis	Gn. 8: 15-19	x	AELF			
6GF4L2		Gn. 8: 20-22	x	AELF			
6GF4L3		Gn. 9: 1-6	x	AELF			
6GF5L1	De libro Génesis	Gn. 9: 12-15	x	AELF			
6GF5L2		Gn. 9: 20-23	x	AELF			
6GF5L3		Gn. 9: 24-29	x	AELF			
6GF6L1	De libro Génesis	Gn. 10: 1-6	x	AELF			
6GF6L2		Gn. 11: 1-4	x	AELF			
6GF6L3		Gn. 11: 5-8	x	AELF			
6GF7L1	De libro Génesis	Gn. 11: 10-15	x	AELF			
6GF7L2		Gn. 11: 16-23	x	AELF			
6GF7L3		Gn. 11: 24-30	x	AELF			
5GF1N1L1	De libro Génesis	Gn. 12: 1-6	x	AELF			
5GF1N1L2		Gn. 12: 7-13	x	AELF			
5GF1N1L3		Gn. 12: 14-19	x	AELF			
5GF2L1	De libro Génesis	Gn. 13: 1-6	x	AELF			
5GF2L2		Gn. 13: 7-11	x	AELF			
5GF2L3		Gn. 13: 11-16	x	AELF			
5GF3L1	De libro Génesis	Gn. 14: 8-12	x	AELF			
5GF3L2		Gn. 14: 13-16	x	AELF			
5GF3L3		Gn. 14: 17-20	x	AELF			
Q1F1N1L1	De Epístola secúnda beáti Pauli Apóstoli ad Corínthios	2 Co. 6: 1-10	x	AELF			
Q1F1N1L2		2 Co. 6: 11-16	x	AELF			
Q1F1N1L3		2 Co. 7: 4-9	x	AELF			
Q2F1N1L1	De libro Génesis	Gn. 27: 1-10	x	AELF			
Q2F1N1L2		Gn. 27: 11-20	x	AELF			
Q2F1N1L3		Gn. 27: 21-29	x	AELF			
Q3F1N1L1	De libro Génesis	Gn. 37: 2-10	x	AELF			
Q3F1N1L2		Gn. 37: 11-20	x	AELF			
Q3F1N1L3		Gn. 37: 21-28	x	AELF			
Q4F1N1L1	De libro Éxodi	Ex. 3: 1-6	x	AELF			
